EA,731,10135,1013501,30135,ABE,Allentown/Bethlehem/Easton, PA,PA,23,1039702,30397,ATL,GA,13
EA,735,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1349501,33495,MSY,LA,22
EA,742,11697,1169701,32467,FLL,Fort Lauderdale, FL,FL,33,1161801,31703,EWR,NJ,34
EA,752,10135,1013501,30135,ABE,Allentown/Bethlehem/Easton, PA,PA,23,1043401,30434,AVP,PA,42
EA,757,11697,1169701,32467,FLL,Fort Lauderdale, FL,FL,33,1330302,32467,MIA,FL,12
EA,762,13495,1349501,33495,MSY,New Orleans, LA,LA,72,1039702,30397,ATL,GA,13
EA,767,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1342201,30562,MOB,AL,01
EA,773,10529,1052902,30529,BDL,Hartford, CT,CT,11,1320401,31454,MCO,FL,12
EA,777,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1410701,30466,PHX,AZ,04
EA,782,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1104201,30647,CLE,OH,39
EA,788,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1334202,33342,MKE,WI,55
EA,793,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1199501,31995,GSO,NC,37
EA,799,13487,1348701,31650,MSP,Minneapolis, MN,MN,63,1039702,30397,ATL,GA,13
EA,809,14100,1410001,34100,PHL,Philadelphia, PA,PA,23,1082102,30852,BWI,MD,24
EA,822,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1129201,30325,DEN,CO,08
EA,830,13303,1330302,32467,MIA,Miami, FL,FL,33,1039702,30397,ATL,GA,13
EA,836,13204,1320401,31454,MCO,Orlando, FL,FL,33,1410001,34100,PHL,PA,42
EA,840,13204,1320401,31454,MCO,Orlando, FL,FL,33,1295301,31703,LGA,NY,36
EA,847,12953,1295301,31703,LGA,New York, NY,NY,22,1530401,33195,TPA,FL,12
EA,854,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1127801,30852,DCA,VA,51
EA,861,12478,1247801,31703,JFK,New York, NY,NY,22,1320401,31454,MCO,FL,12
EA,868,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1129201,30325,DEN,CO,08
EA,873,11618,1161801,31703,EWR,Newark, NJ,NJ,21,1402701,34027,PBI,FL,12
EA,878,13204,1320401,31454,MCO,Orlando, FL,FL,33,1127801,30852,DCA,VA,51
EA,885,14307,1430701,30721,PVD,Providence, RI,RI,15,1320401,31454,MCO,FL,12
EA,895,12953,1295301,31703,LGA,New York, NY,NY,22,1402701,34027,PBI,FL,12
EA,906,13204,1320401,31454,MCO,Orlando, FL,FL,33,1430701,30721,PVD,RI,44
EA,919,12478,1247801,31703,JFK,New York, NY,NY,22,1484301,34819,SJU,?,?
EA,928,14843,1484301,34819,SJU,San Juan, Puerto Rico,?,268,1247801,31703,JFK,NY,36
EA,933,15096,1509601,35096,SYR,Syracuse, NY,NY,22,1410001,34100,PHL,PA,42
EA,940,14843,1484301,34819,SJU,San Juan, Puerto Rico,?,268,1410001,34100,PHL,PA,42
EA,947,10821,1082102,30852,BWI,Baltimore, MD,MD,35,1484301,34819,SJU,?,?
EA,954,10397,1039702,30397,ATL,Atlanta, GA,GA,34,1393001,30977,ORD,IL,17
EA,968,11618,1161801,31703,EWR,Newark, NJ,NJ,21,1072101,30721,BOS,MA,25
EA,973,12953,1295301,31703,LGA,New York, NY,NY,22,1039702,30397,ATL,GA,13
EA,990,15024,1502402,34945,STT,Charlotte Amalie, Virgin Islands,?,283,1502701,34992,STX,?,?
EA,996,15027,1502701,34992,STX,Christiansted, Virgin Islands,?,283,1330302,32467,MIA,FL,12
EA,1030,12953,1295301,31703,LGA,New York, NY,NY,22,1072101,30721,BOS,MA,25
EA,1060,12953,1295301,31703,LGA,New York, NY,NY,22,1072101,30721,BOS,MA,25
EA,1091,10721,1072101,30721,BOS,Boston, MA,MA,13,1295301,31703,LGA,NY,36
EA,1130,12953,1295301,31703,LGA,New York, NY,NY,22,1072101,30721,BOS,MA,25
EA,1171,10721,1072101,30721,BOS,Boston, MA,MA,13,1295301,31703,LGA,NY,36
EA,1430,11278,1127801,30852,DCA,Washington, DC,VA,38,1295301,31703,LGA,NY,36
